Cantidad_de_elementos,Media_de_tiempo_de_ejecucion,Resultado_minimo_encontrado
2,36.141554514567055,24703421
3,14424.08307393392,37241634
4,2700.213670730591,12348202
5,349716.55678749084,19626012
6,555256.1661402384,15540208
7,218508.35005442298,11226264
8,47538.49530220032,10849969
9,8355.13599713659,8632869
10,3280.776103337528,9180665
