Cantidad_de_elementos,Media_de_tiempo_de_ejecucion,Resultado_minimo_encontrado
2,0.056362152099609375,24820065
3,0.05421638488769531,37509716
4,0.06542205810546875,12777906
5,0.06256103515625,19941976
6,0.06518363952636719,15937248
7,0.06847381591796875,11766874
8,0.07266998291015625,11446427
9,0.07891654968261719,9418817
10,0.08554458618164062,10065373
